place_id,review-ID,total_stars,text,food_rating,service_rating,atmosphere_rating
ChIJceaYPzmpQjQRlc1-wYpELkw,Ci9DQUlRQUNvZENodHljRjlvT2tRMWFWZHZZbDh6ZFhJd1QycFplWE54WkhOS1JVRRAB,1.0,"吃兩次拉兩次
不知道這店面怎麼生存的
加油👏",1.0,1.0,1.0
ChIJceaYPzmpQjQRlc1-wYpELkw,Ci9DQUlRQUNvZENodHljRjlvT200NFVHTmpRVzFKVTBoT1kzVmZZMUl4ZG1GbFkyYxAB,2.0,"涼麵 ….  這水平是怎麼生存到現在的？

麻醬完全沒味道，一點香氣都沒有

醬怎麼調配成這樣子的…..

3合一味增湯 倒是還蠻好喝",2.0,1.0,1.0
ChIJceaYPzmpQjQRlc1-wYpELkw,Ci9DQUlRQUNvZENodHljRjlvT2xsbGJtRmhORzVLU0VnellsWmxZelpuZG5CR2VYYxAB,4.0,每到夏天吃涼麵首選 火腿涼麵 三和一味噌湯真是絕配 扣一顆星是店裡冷氣不太涼 吃到流汗了 🥵 …,,,
ChIJceaYPzmpQjQRlc1-wYpELkw,ChZDSUhNMG9nS0VQekMxNzNHb05yR1B3EAE,3.0,我們點泰式酸辣是超辣的那種不吃辣的不要點，但我有吃辣的也覺得辣，辣到那種已經吃不出涼麵的美味。應該不會再去外帶。,3.0,4.0,4.0
ChIJceaYPzmpQjQRlc1-wYpELkw,ChdDSUhNMG9nS0VMMlE3NkRVM2NUX3hnRRAB,1.0,這個是特大嗎？回到家才發現，是不是有點縮水太誇張了,1.0,1.0,1.0
ChIJceaYPzmpQjQRlc1-wYpELkw,ChdDSUhNMG9nS0VPcV96ZnFscDdHYW1BRRAB,3.0,涼麵完全不行 個人口味不一樣 但是麵為什麼不是涼涼的是溫溫的…. 味增貢丸湯倒是很好喝,,,
ChIJceaYPzmpQjQRlc1-wYpELkw,ChdDSUhNMG9nS0VLVGMzNW1rdkxPa3pRRRAB,1.0,"叫Ubereats 備註都不看
一星都不想給",1.0,1.0,1.0
ChIJceaYPzmpQjQRlc1-wYpELkw,ChdDSUhNMG9nS0VJQ0FnSUN5c01fYTdBRRAB,1.0,"在店內用餐會聞到菸味 免費的哦😊

違停也是亂象 導致人行道沒辦法走

阿姨製作餐不戴口罩
口水跟加料都是免費添加的
短頭髮阿姨態度很差自己小心👀",1.0,1.0,1.0
ChIJceaYPzmpQjQRlc1-wYpELkw,ChZDSUhNMG9nS0VJQ0FnTURveTUzUUdBEAE,5.0,涼麵好吃，味噌湯好喝！,5.0,5.0,5.0
ChIJceaYPzmpQjQRlc1-wYpELkw,ChZDSUhNMG9nS0VJQ0FnTURvcmVUOFNBEAE,5.0,涼麵好吃！宵夜首選～東西又平價，店員又親切。店面又好找！24小時營業。值得推薦！👍👍👍,5.0,5.0,5.0
ChIJceaYPzmpQjQRlc1-wYpELkw,ChZDSUhNMG9nS0VJQ0FnTURvMWZLclF3EAE,5.0,真心覺得好吃 評價美味,5.0,5.0,5.0
ChIJceaYPzmpQjQRlc1-wYpELkw,ChdDSUhNMG9nS0VJQ0FnTURvMVpMTWhRRRAB,5.0,很好吃，評價美食,5.0,5.0,5.0
ChIJceaYPzmpQjQRlc1-wYpELkw,ChdDSUhNMG9nS0VJQ0FnTURvbGRfYXRnRRAB,5.0,好吃，是我的口袋名單之一。,5.0,5.0,5.0
ChIJceaYPzmpQjQRlc1-wYpELkw,ChdDSUhNMG9nS0VJQ0FnTURvbGVYSnNBRRAB,5.0,非常好吃！是我的口袋名單之一！讚👍,5.0,5.0,5.0
ChIJceaYPzmpQjQRlc1-wYpELkw,ChZDSUhNMG9nS0VJQ0FnTURvOHNUaERREAE,2.0,兩年後吃已經不行了，小涼麵跟大涼麵雞絲份量居然一樣，以前雞絲多到爆，現在根本是點綴而已。,1.0,,
ChIJceaYPzmpQjQRlc1-wYpELkw,ChdDSUhNMG9nS0VJQ0FnTURvNUw2WDBBRRAB,5.0,,5.0,5.0,5.0
ChIJceaYPzmpQjQRlc1-wYpELkw,ChZDSUhNMG9nS0VJQ0FnTUR3di1ub1hBEAE,5.0,東西好吃，環境整潔，24小時營業，半夜肚子餓的好去處！,5.0,5.0,5.0
ChIJceaYPzmpQjQRlc1-wYpELkw,ChZDSUhNMG9nS0VJQ0FnTUR3N1k2NkRREAE,1.0,吃個台式涼麵大、味增三合一、蔥蛋 這樣算我195元 我算一算才155 給兩百找5元多收40元 感覺很不好,,,
ChIJceaYPzmpQjQRlc1-wYpELkw,ChZDSUhNMG9nS0VJQ0FnTUN3NXRlQUhREAE,5.0,涼麵好吃！宵夜好選擇！,5.0,4.0,3.0
ChIJceaYPzmpQjQRlc1-wYpELkw,ChZDSUhNMG9nS0VJQ0FnTURRNzRISFJnEAE,5.0,,5.0,5.0,5.0
ChIJceaYPzmpQjQRlc1-wYpELkw,ChZDSUhNMG9nS0VJQ0FnTURRNzg2c0dnEAE,5.0,,5.0,5.0,5.0
ChIJceaYPzmpQjQRlc1-wYpELkw,ChZDSUhNMG9nS0VJQ0FnTURRN1k2UmVBEAE,5.0,好吃又便宜老闆又很客氣,5.0,5.0,5.0
ChIJceaYPzmpQjQRlc1-wYpELkw,ChdDSUhNMG9nS0VJQ0FnTURReGFPTnJBRRAB,5.0,麻將不會到很稠很乾，是濕潤的那種，搭配雞絲吃起來很清爽順口，味噌湯配上半熟蛋，涼麵店經典的味道😄,5.0,5.0,5.0
ChIJceaYPzmpQjQRlc1-wYpELkw,ChZDSUhNMG9nS0VJQ0FnTURReFkySGJREAE,5.0,三重宵夜沒什麼好選擇，但24小時營業，雞絲涼麵配上經典味噌湯+蛋+貢丸，不會太油膩太罪惡，好吃又能飽,5.0,5.0,5.0
ChIJceaYPzmpQjQRlc1-wYpELkw,ChZDSUhNMG9nS0VJQ0FnTURReGVYVElnEAE,5.0,涼麵份量適中，店內還有其他麵類，重點是24H小時都有營業，宵夜時的好選好選擇,5.0,5.0,5.0
ChIJceaYPzmpQjQRlc1-wYpELkw,ChdDSUhNMG9nS0VJQ0FnTURRd2JfUTFRRRAB,2.0,,,,
ChIJceaYPzmpQjQRlc1-wYpELkw,ChdDSUhNMG9nS0VJQ0FnTURRd1lPWHdnRRAB,1.0,此店家非常不衛生，吃麵吃到衛生紙整坨的，滑了一下其他評論還有人吃到蟑螂的，真的很噁心，非常不建議來這間用餐。,1.0,1.0,1.0
ChIJceaYPzmpQjQRlc1-wYpELkw,ChZDSUhNMG9nS0VJQ0FnTURRd2RuOFRBEAE,1.0,警告⚠️⚠️⚠️超級噁心，外送點了一碗榨菜肉絲麵，結果裡面盡然有衛生紙，而且是整坨的，打電話到店家去，沒問我的訂單編號，就直接否認說不是他們丟的，還說是不是外送員丟的，雖然外送員有過手，但不負責的說法，讓人非常氣憤，先不論衛生紙是否用過，即便是乾淨的都含有螢光劑又經過熱湯加熱產生有毒物質就夠讓人覺得噁心了，更不用說有人用過。看看照片，看似像高麗菜。奉勸各位要在這家店用餐及點餐請三思啊。,1.0,1.0,1.0
ChIJceaYPzmpQjQRlc1-wYpELkw,ChZDSUhNMG9nS0VJQ0FnTUNRN1lfSEx3EAE,5.0,,5.0,5.0,4.0
ChIJceaYPzmpQjQRlc1-wYpELkw,ChdDSUhNMG9nS0VJQ0FnTUNRbE9YUWpBRRAB,5.0,"24小時營業的
是我夜宵的首選
涼麵有四種尺寸可選，十分貼心
價格算是實惠",5.0,5.0,4.0
ChIJceaYPzmpQjQRlc1-wYpELkw,ChdDSUhNMG9nS0VJQ0FnTURnMGJ6OTZnRRAB,4.0,涼麵比中南部的好吃欸，我喜歡！,4.0,5.0,4.0
ChIJceaYPzmpQjQRlc1-wYpELkw,ChdDSUhNMG9nS0VJQ0FnTUNncjVHNHVnRRAB,5.0,"素食的，上面菜單沒有
老闆娘幫我用的台式涼麵
我個人覺得蠻好吃
雖然也滿足了
不過希望之後也有其他口味",5.0,5.0,5.0
ChIJceaYPzmpQjQRlc1-wYpELkw,ChZDSUhNMG9nS0VJQ0FnTUNnajdma1FREAE,5.0,,5.0,5.0,5.0
ChIJceaYPzmpQjQRlc1-wYpELkw,ChdDSUhNMG9nS0VJQ0FnTUNneHZubnBRRRAB,5.0,,,,
ChIJceaYPzmpQjQRlc1-wYpELkw,ChZDSUhNMG9nS0VJQ0FnSUNfeF96N1Z3EAE,1.0,難吃 環境待加強,,,
ChIJceaYPzmpQjQRlc1-wYpELkw,ChdDSUhNMG9nS0VJQ0FnSURmNTRHMHBBRRAB,5.0,,5.0,5.0,5.0
ChIJceaYPzmpQjQRlc1-wYpELkw,ChZDSUhNMG9nS0VJQ0FnSURmb3BuSEF3EAE,1.0,一打開 就來了個小強🪳⋯⋯⋯⋯,1.0,1.0,1.0
ChIJceaYPzmpQjQRlc1-wYpELkw,ChZDSUhNMG9nS0VJQ0FnSURmMHVDQ0xREAE,1.0,"衛生不好 吃得到蟑螂
阿姨很好沒有跟我算蟑螂涼麵的錢
但我不會再來吃了",,,
ChIJceaYPzmpQjQRlc1-wYpELkw,ChdDSUhNMG9nS0VJQ0FnSUNmaTh2d2tBRRAB,1.0,一位不明性別的中年人 （此人當天工作為煮湯煎蛋的 ） 路口就很小要過也不表示一下直接撞過來且一句道歉也沒有態度十分差勁 真的整間店就這位屬實有點可惜大打貴店的印象 另外櫃檯收錢的姊姊每次來雖然都面無表情但服務態度很好,3.0,1.0,1.0
ChIJceaYPzmpQjQRlc1-wYpELkw,ChdDSUhNMG9nS0VJQ0FnSUNmd2NuTTJ3RRAB,1.0,沒辦法接那麼多單就不要接，涼麵跟味增湯要等快一個小時太扯了吧,,,
ChIJceaYPzmpQjQRlc1-wYpELkw,ChdDSUhNMG9nS0VJQ0FnSUR2cTdTUmhnRRAB,4.0,,4.0,3.0,4.0
ChIJceaYPzmpQjQRlc1-wYpELkw,ChZDSUhNMG9nS0VJQ0FnSUN2dTgtcVRnEAE,5.0,,5.0,5.0,5.0
ChIJceaYPzmpQjQRlc1-wYpELkw,ChdDSUhNMG9nS0VJQ0FnSUN2M01uR3hRRRAB,5.0,特製辣椒+上傳統涼麵..很辣又好吃,5.0,5.0,5.0
ChIJceaYPzmpQjQRlc1-wYpELkw,ChZDSUhNMG9nS0VJQ0FnSURQdWZ1WVV3EAE,2.0,大概外送買五次有三次沒有加辣 是小氣還是故意不給懶得給？評價3.8也是有原因的 涼麵沒有辣椒不叫食物 整個就不爽吃了,4.0,1.0,
ChIJceaYPzmpQjQRlc1-wYpELkw,ChZDSUhNMG9nS0VJQ0FnSUNYcFltYmFREAE,5.0,,,,
ChIJceaYPzmpQjQRlc1-wYpELkw,ChdDSUhNMG9nS0VJQ0FnSURuakl2ZHN3RRAB,5.0,吃宵夜的好地方，       24小時營業,5.0,5.0,5.0
